 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...	
85.001	1278.77	102.227	1.99544	2.97947	N/A	2	78.001	84.001
78.001	98.8806	4.71261	2.58434	1.8108	85	2	75.001	79.001
75.001	195.089	15.9935	1.97047	1.69444	78	2	74.001	72.001
74.001	236.512	33.8498	1.49133	1.17231	75	0		
72.001	688.156	98.8592	1.48854	1.24345	75	2	73.001	71.001
73.001	184.399	12.0777	2.20451	1.61719	72	2	76.001	77.001
76.001	694.169	62.9851	1.873	1.52337	73	2	80.001	81.001
80.001	55.4533	2.87399	2.47826	1.70122	76	2	86.001	87.001
86.001	340.069	42.5884	1.59427	1.41488	80	0		
87.001	1964.25	199.129	1.77197	1.57165	80	2	94.001	95.001
94.001	146.985	4.76398	3.13384	2.05902	87	2	99.001	100.001
99.001	760.312	64.5844	1.93579	1.53871	94	0		
100.001	400.867	31.8576	2.00133	1.62778	94	2	105.001	106.001
105.001	372.807	24.0777	2.22003	2.12138	100	0		
106.001	94.872	4.84199	2.49737	1.827	100	0		
95.001	290.629	48.4964	1.38115	1.2122	87	2	96.001	89.001
96.001	20.0434	2.21187	1.69836	1.02446	95	0		
89.001	380.156	44.6568	1.64612	1.3926	95	1	88.001	
88.001	782.36	63.8556	1.97483	1.76311	89	2	92.001	91.001
92.001	678.134	81.8219	1.62423	1.36192	88	1	93.001	
93.001	173.709	19.6483	1.67754	1.41648	92	0		
91.001	432.937	26.8122	2.2671	2.0268	88	2	83.001	90.001
83.001	545.848	47.6879	1.90878	1.47156	91	1	82.001	
82.001	354.1	31.0765	1.90446	1.8618	83	0		
90.001	1066.31	44.3179	2.76743	4.59117	91	2	97.001	98.001
97.001	145.648	16.2373	1.68974	1.38411	90	2	101.001	102.001
101.001	195.089	31.0091	1.41513	1.12102	97	0		
102.001	133.622	30.4365	1.18214	1.03633	97	0		
98.001	173.709	10.9526	2.24687	1.88521	90	2	103.001	104.001
103.001	207.783	34.1515	1.39163	1.25124	98	0		
104.001	406.88	27.7352	2.16094	1.83777	98	2	107.001	108.001
107.001	330.048	29.1782	1.89751	1.80429	104	2	109.001	110.001
109.001	157.675	27.9213	1.34072	1.1582	107	0		
110.001	149.657	34.7575	1.17071	0.932104	107	0		
108.001	57.4577	4.10186	2.11158	1.42424	104	2	111.001	112.001
111.001	163.019	25.16	1.43612	1.21481	108	0		
112.001	18.7071	2.21187	1.64077	1.22855	108	0		
81.001	277.267	37.9104	1.52579	1.32686	76	0		
77.001	197.761	23.3993	1.64019	1.33695	73	0		
71.001	475.696	27.3824	2.35155	1.81532	72	2	70.001	56.001
70.001	753.631	95.4402	1.5854	1.34831	71	0		
56.001	383.497	16.7454	2.69997	2.00466	71	2	45.001	57.001
45.001	44.0954	0.5	5.2983	1.87891	56	2	44.001	35.001
44.001	354.768	50.003	1.50279	1.33687	45	2	54.001	55.001
54.001	92.1995	25.1917	1.07934	1.0309	44	0		
55.001	38.7505	7.14597	1.31381	1.20398	44	2	68.001	69.001
68.001	52.1128	6.97585	1.54205	1.37958	55	0		
69.001	140.304	20.6893	1.46922	1.2361	55	0		
35.001	546.516	31.6031	2.34618	1.81678	45	2	36.001	25.001
36.001	2240.18	167.265	2.06473	1.88439	35	2	46.001	47.001
46.001	200.434	22.537	1.68253	1.33412	36	0		
47.001	491.731	40.2368	1.97232	1.4979	36	2	58.001	59.001
58.001	84.1822	15.9704	1.29532	1.10974	47	0		
59.001	280.607	42.7126	1.44609	1.22496	47	0		
25.001	69.4837	2.38199	3.04717	1.89386	35	2	20.001	26.001
20.001	296.642	17.3915	2.33009	1.95952	25	2	19.001	16.001
19.001	447.635	37.0654	1.96066	1.68809	20	2	23.001	24.001
23.001	173.709	24.8831	1.49068	1.41387	19	2	31.001	32.001
31.001	581.258	50.2796	1.91829	1.66328	23	0		
32.001	897.943	63.8163	2.11633	1.81183	23	2	40.001	41.001
40.001	338.065	36.2137	1.72381	1.40438	32	0		
41.001	545.18	23.7521	2.70299	2.71506	32	0		
24.001	217.805	17.5571	1.98716	1.54379	19	2	33.001	34.001
33.001	259.228	24.3551	1.84065	1.38854	24	0		
34.001	314.681	26.4229	1.94702	1.67088	24	2	42.001	43.001
42.001	789.041	37.7775	2.57845	2.00307	34	2	50.001	51.001
50.001	81.5097	3.43975	2.74642	1.85184	42	2	64.001	65.001
64.001	1060.29	108.84	1.76094	1.76424	50	0		
65.001	650.073	43.6561	2.17713	2.58118	50	0		
51.001	146.985	17.5432	1.63308	1.21903	42	0		
43.001	791.045	51.433	2.21261	1.93838	34	2	52.001	53.001
52.001	136.295	12.131	1.89111	1.79411	43	2	66.001	67.001
66.001	96.2082	5.57786	2.34313	1.8064	52	0		
67.001	471.687	30.752	2.20961	2.30919	52	0		
53.001	538.499	54.7467	1.76945	1.42528	43	0		
16.001	609.541	26.12	2.72546	2.31927	20	2	15.001	13.001
15.001	562.773	48.9794	1.91243	1.69352	16	2	17.001	18.001
17.001	37.4143	1.648	2.68822	1.31906	15	2	21.001	22.001
21.001	36.0781	1.71987	2.58403	1.35817	17	2	27.001	28.001
27.001	402.204	52.3697	1.56354	1.28345	21	0		
28.001	267.245	41.5592	1.43069	1.22992	21	0		
22.001	132.286	15.5297	1.64665	1.32761	17	2	29.001	30.001
29.001	332.72	48.6354	1.47567	1.27237	22	1	39.001	
39.001	1157.17	132.156	1.66947	1.50353	29	0		
30.001	33.4056	5.82174	1.35148	1.07713	22	0		
18.001	22.7158	1.648	2.09465	1.41835	15	0		
