 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...	
27.01	10544.2	85.8682	6.25195	6.53263	nan	2	16.01	26.01
16.01	335.301	10.7995	3.14369	3.5987	27	2	8.01	15.01
8.01	60.9638	2.98074	2.55152	3.81715	16	2	7.01	4.01
7.01	1961	105.52	2.43218	1.90837	8	2	13.01	14.01
13.01	228.614	49.0348	1.21822	1.12321	7	2	22.01	23.01
22.01	1351.37	90.4857	2.18033	1.72736	13	0		
23.01	655.361	17.2313	3.47942	2.41321	13	1	30.01	
30.01	1905.12	278.358	1.47599	1.19081	23	2	33.01	34.01
33.01	50.8032	9.4125	1.31074	0.990534	30	0		
34.01	330.221	52.8317	1.41052	1.29634	30	0		
14.01	3195.52	103.053	3.14171	2.7449	7	2	24.01	25.01
24.01	411.506	71.2107	1.35625	1.16668	14	0		
25.01	2753.53	142.041	2.48407	2.12962	14	2	31.01	32.01
31.01	289.578	54.5833	1.29951	1.42104	25	0		
32.01	5.08032	0	inf	0	25	0		
4.01	2789.1	56.3017	3.97096	3.72122	8	2	3.01	2.01
3.01	4160.78	114.376	3.40287	2.81874	4	2	5.01	6.01
5.01	426.747	27.7476	2.21257	1.89203	3	2	9.01	10.01
9.01	71.1245	9.18219	1.57022	1.00971	5	2	17.01	18.01
17.01	30.4819	11.961	0.900663	0	9	0		
18.01	2093.09	182.632	1.90999	1.66697	9	0		
10.01	139.709	19.7561	1.50033	1.14847	5	2	19.01	11.01
19.01	114.307	16.5161	1.48425	1.15058	10	2	28.01	29.01
28.01	5.08032	0	inf	0	19	0		
29.01	187.972	41.9894	1.19372	0.869551	19	0		
11.01	20.3213	0.5	3.59679	1.43397	10	1	12.01	
12.01	1983.86	143.351	2.09884	1.74758	11	2	20.01	21.01
20.01	55.8835	13.8183	1.13459	0.610909	12	0		
21.01	35.5622	5.73588	1.40482	0.737143	12	0		
6.01	1145.61	51.353	2.66478	2.24555	3	0		
2.01	1248.91	21.3735	4.31274	3.17555	4	2	1.01	0.01
1.01	1990.64	246.454	1.60344	1.3558	2	0		
0.01	1764.56	68.532	2.86284	2.3894	2	0		
15.01	5.08032	0	inf	0	16	0		
26.01	2573.18	60.5355	3.67837	3.33904	27	0		
8.2	1016.06	21.6372	3.86621	4.28119	N/A	2	6.2	7.2
6.2	919.538	31.0069	3.07242	2.63131	8	2	4.2	5.2
4.2	416.586	16.5354	2.83185	3.34603	6	2	1.2	3.2
1.2	91.4458	7.38658	1.98511	2.02328	4	2	0.2	2.2
0.2	55.8835	12.5659	1.18979	0.845654	1	0		
2.2	86.3654	10.7466	1.59941	1.32278	1	0		
3.2	50.8032	4.92439	1.81215	2.41014	4	0		
5.2	137.169	11.2651	1.96872	1.76538	6	0		
7.2	787.45	30.6657	2.85897	3.27765	8	0		
1.3	182.892	15.8395	1.91713	2.32479	N/A	2	0.3	2.3
0.3	81.2851	5.44293	2.18029	2.17428	1	0		
2.3	416.586	26.6391	2.23109	2.07643	1	2	3.3	4.3
3.3	66.0442	11.7837	1.33568	1.80049	2	0		
4.3	15.241	1.68	1.69933	0.56	2	0		
0.4	467.389	34.8372	2.06654	2.06824	N/A	1	1.4	
1.4	518.193	31.3909	2.29229	1.86812	0	2	2.4	3.4
2.4	20.3213	2.98074	1.47312	0.84	1	0		
3.4	35.5622	9.09588	1.11557	0.24	1	0		
2.5	185.432	15.9066	1.92632	2.18619	N/A	2	1.5	0.5
1.5	96.5261	11.6488	1.62408	1.44506	2	0		
0.5	200.673	24.8768	1.6024	1.54424	2	0		
2.6	4902.51	63.2323	4.96781	4.97481	N/A	2	0.6	1.6
0.6	635.04	60.4581	1.82851	2.42148	2	0		
1.6	574.076	19.4676	3.06375	3.65886	2	0		
1.7	-1.58E+232	0.5	nan	-3.11E+231	N/A	0		
1.8	-1.58E+232	0.5	nan	-3.11E+231	N/A	0		
1.9	-1.58E+232	0.5	nan	-3.11E+231	N/A	0		
