 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
11.01	7161.06	125.315	4.26493	5.52524	nan	2	6.01	12.01	
6.01	2515.07	35.5481	4.74561	3.78982	11	2	5.01	2.01	
5.01	4393.54	135.945	3.20739	2.58438	6	2	9.01	10.01	
9.01	181.888	7.05206	2.86529	1.86756	5	2	17.01	18.01	
17.01	244.608	77.9172	0.99964	0.756153	9	0			
18.01	2668.74	141.777	2.44779	1.79047	9	2	24.01	25.01	
24.01	214.816	23.1741	1.71774	1.53127	18	2	30.01	31.01	
30.01	23.52	1.4	2.31249	1.44849	24	2	38.01	39.01	
38.01	35.5413	10.5237	1.03683	0.748325	30	2	45.01	46.01	
45.01	54.3573	26.719	0.804719	0.311111	38	0			
46.01	1.04533	0.5	0.815769	0	38	0			
39.01	59.584	14.9622	1.12588	0.889786	30	0			
31.01	370.048	101.295	1.07835	2.3302	24	0			
25.01	144.256	17.6492	1.61298	1.2172	18	2	32.01	33.01	
32.01	43.904	2.12603	2.56385	1.96201	25	2	40.01	41.01	
40.01	269.696	30.5184	1.67719	1.50604	32	2	47.01	48.01	
47.01	54.88	20.5213	0.922634	0.671825	40	0			
48.01	268.128	40.0195	1.46036	1.32996	40	0			
41.01	40.768	8.8172	1.21316	1.10902	32	0			
33.01	156.8	19.3698	1.60522	1.25594	25	2	35.01	42.01	
35.01	2762.82	143.227	2.47792	1.84149	33	2	34.01	26.01	
34.01	50.176	7.07107	1.5029	1.38245	35	2	43.01	44.01	
43.01	272.832	76.8363	1.06314	0.807809	34	0			
44.01	316.736	32.0079	1.77478	1.62488	34	2	51.01	52.01	
51.01	442.176	140.375	1.00133	0.67668	44	0			
52.01	382.592	81.9896	1.21875	1.09488	44	0			
26.01	247.744	14.5427	2.32865	1.67553	35	2	27.01	21.01	
27.01	649.152	68.176	1.74094	2.22195	26	0			
21.01	5888.36	164.685	3.37362	2.89291	26	1	13.01		
13.01	30435.4	72.3606	11.5708	33.7891	21	2	7.01	14.01	
7.01	2292.42	258.118	1.68137	1.32285	13	2	4.01	8.01	
4.01	2308.1	243.921	1.73551	1.323	7	2	3.01	1.01	
3.01	130.144	12.4167	1.82656	1.67862	4	0			
1.01	26.656	0.5	4.11943	1.94905	4	1	0.01		
0.01	2195.2	104.301	2.58832	2.13951	1	0			
8.01	279.104	30.2682	1.71323	1.35932	7	2	15.01	16.01	
15.01	191.296	54.9884	1.05231	0.875218	8	0			
16.01	175.616	37.9847	1.21312	0.997919	8	0			
14.01	856.128	24.1309	3.36053	2.46705	13	2	22.01	23.01	
22.01	243.04	7.32548	3.24972	2.21489	14	2	28.01	29.01	
28.01	254.016	7.07107	3.38153	2.34622	22	2	36.01	37.01	
36.01	94.08	9.1971	1.80446	1.68918	28	0			
37.01	1724.8	90.0887	2.46865	1.92482	28	0			
29.01	109.76	24.4628	1.19507	1.11913	22	0			
23.01	221.088	25.0079	1.67753	1.52906	14	0			
42.01	279.104	32.187	1.66137	1.38069	33	2	49.01	50.01	
49.01	90.944	13.977	1.43915	1.36459	42	2	53.01	54.01	
53.01	34.496	12.3432	0.943181	0.509091	49	0			
54.01	81.536	32.39	0.895147	0.703595	49	0			
50.01	235.2	47.9663	1.24933	1.07982	42	0			
