 name	 vol(cu.units)	 len(units)	 <r>_vl(units)	 <r>_obs(units)	 par	 num_child	 children...	
14.01	340.992	24.9159	2.08717	3.02632	nan	2	10.01	13.01
10.01	255.744	8.04547	3.18091	2.42785	14	2	9.01	7.01
9.01	69.12	7.38273	1.72631	2.45146	10	0		
7.01	1223.42	31.8412	3.49719	2.89342	10	2	4.01	8.01
4.01	1340.93	28.9417	3.84031	2.75762	7	2	2.01	3.01
2.01	64.512	0.5	6.40856	2.27755	4	2	1.01	0.01
1.01	193.536	20.5535	1.73126	1.8951	2	0		
0.01	1866.24	99.2247	2.4468	1.88135	2	0		
3.01	3538.94	273.34	2.03007	1.58013	4	2	5.01	6.01
5.01	18.432	2.26274	1.61025	1.16166	3	0		
6.01	36.864	10.0997	1.07788	0.645369	3	0		
8.01	1905.41	89.4178	2.6044	1.8483	7	2	11.01	12.01
11.01	350.208	37.1092	1.73319	1.49087	8	1	15.01	
15.01	69.12	4.00832	2.34286	1.55549	11	2	18.01	19.01
18.01	230.4	26.7791	1.65489	1.72688	15	0		
19.01	1741.82	176.463	1.77256	1.46626	15	0		
12.01	486.144	36.5648	2.0572	1.69768	8	0		
13.01	4732.42	207.62	2.69359	2.79159	14	2	16.01	17.01
16.01	225.792	56.4185	1.12867	0.93515	13	0		
17.01	1655.81	164.335	1.79087	1.58196	13	2	20.01	21.01
20.01	19.968	4.81664	1.14874	0.64	17	0		
21.01	19.968	9.308	0.82635	0	17	0		
4.2	1778.69	114.013	2.22842	1.68415	N/A	2	2.2	3.2
2.2	92.16	2.26274	3.60063	1.89335	4	2	0.2	1.2
0.2	119.808	20.7157	1.35681	1.29874	2	0		
1.2	797.184	52.7839	2.19257	1.66255	2	0		
3.2	129.024	26.971	1.23399	0.843459	4	0		
3.3	149.76	15.0907	1.77733	2.28516	N/A	2	1.3	4.3
1.3	306.432	17.8243	2.3393	2.42899	3	2	2.3	0.3
2.3	147.456	9.49137	2.22378	2.20239	1	0		
0.3	193.536	24.0735	1.59969	1.99278	1	0		
4.3	281.088	22.7821	1.98175	2.25464	3	0		
2.4	23.04	0	inf	3.09102	N/A	2	1.4	3.4
1.4	55.296	5.29969	1.82241	1.78133	2	1	0.4	
0.4	36.864	8.67938	1.16274	0.783883	1	0		
3.4	235.008	23.1362	1.79813	1.81167	2	0		
0.5	585.216	19.6049	3.08249	2.49215	N/A	2	1.5	2.5
1.5	105.984	11.2166	1.73426	1.29848	0	0		
2.5	1119.74	47.6434	2.73516	2.13489	0	0		
2.6	1575.94	60.2058	2.88652	4.36832	N/A	2	1.6	0.6
1.6	695.808	71.9567	1.75442	1.46809	2	0		
0.6	78.336	11.6997	1.45989	1.14266	2	0		
1.7	1.43E+232	0.5	9.54E+115	-1.49E-154	N/A	0		
1.8	-1.24E+155	0.5	nan	-2.68E+154	N/A	0		
