tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
patient2.gd	"(111, 276, 38)-(117, 284, 42)"	14.103543	715.433698	4.01833	429	25	#b4ff7fffffffffffff4c	75	NA	NA	NA	2	1.887635194	NA
patient2.gd	"(111, 276, 38)-(112, 282, 31)"	16.808726	471.05288	2.986706	350	84	#08ff7ffffffffffffff8	47	"(111, 276, 38)-(117, 284, 42)"	0.74327	1.191809	2	0.701920577	0.377276321
patient2.gd	"(112, 282, 31)-(114, 282, 31)"	3.34664	24.792257	1.535602	16	2	#8400ff	2	"(111, 276, 38)-(112, 282, 31)"	0.514146	0.199101	2	1.532304712	NA
patient2.gd	"(114, 282, 31)-(118, 278, 29)"	8.359525	26.563132	1.005713	17	2	#1c00ff	1	"(112, 282, 31)-(114, 282, 31)"	0.654931	2.497886	0	NA	NA
patient2.gd	"(114, 282, 31)-(117, 276, 31)"	9.418203	26.563132	0.947503	16	1	#ffcb7ffffffffffffece	1	"(112, 282, 31)-(114, 282, 31)"	0.617024	2.814227	0	NA	NA
patient2.gd	"(111, 283, 30)-(112, 282, 31)"	2.097618	3.541751	0.733113	2	0	#ff00f9	45	"(111, 276, 38)-(112, 282, 31)"	0.245459	0.124793	2	NA	NA
patient2.gd	"(111, 283, 30)-(120, 291, 30)"	17.084616	88.543774	1.284403	59	9	#e6ff7fffffffffffff1a	1	"(111, 283, 30)-(112, 282, 31)"	1.751986	8.144771	0	NA	NA
patient2.gd	"(106, 287, 31)-(111, 283, 30)"	8.300794	125.73216	2.195778	81	10	#4400ff	44	"(111, 283, 30)-(112, 282, 31)"	2.995143	3.957248	2	NA	NA
patient2.gd	"(106, 287, 31)-(112, 290, 31)"	11.216061	177.087549	2.241811	113	13	#0016ff	1	"(106, 287, 31)-(111, 283, 30)"	1.020964	1.351203	0	NA	NA
patient2.gd	"(97, 291, 31)-(106, 287, 31)"	13.457955	396.67611	3.063046	265	41	#ff006e	43	"(106, 287, 31)-(111, 283, 30)"	1.394971	1.621285	2	NA	1.644289709
patient2.gd	"(97, 291, 31)-(97, 294, 28)"	5.927286	58.438891	1.771528	55	22	#fd00ff	1	"(97, 291, 31)-(106, 287, 31)"	0.578355	0.44043	0	NA	NA
patient2.gd	"(96, 297, 33)-(97, 291, 31)"	11.208985	398.446985	3.363777	269	44	#00fff5	42	"(97, 291, 31)-(106, 287, 31)"	1.09818	0.832889	2	3.089067929	0.753885924
patient2.gd	"(96, 297, 33)-(98, 297, 34)"	3.770938	99.169027	2.893266	92	36	#00ff02	7	"(96, 297, 33)-(97, 291, 31)"	0.860124	0.336421	2	NA	NA
patient2.gd	"(98, 297, 34)-(108, 303, 38)"	18.267832	690.641441	3.469029	458	68	#b5ff7fffffffffffff4b	6	"(96, 297, 33)-(98, 297, 34)"	1.199001	4.844374	2	1.574336797	3.460567606
