name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(63, 89, 57)-(67, 84, 58)"	15.876548	708.744106	3.769569	2976	1844	#4400ff	170	NA	NA	NA	2	1.878214263	NA
"(67, 84, 58)-(69, 41, 61)"	52.619146	867.147162	2.290338	2007	622	#00bdff	156	"(63, 89, 57)-(67, 84, 58)"	0.607586	3.314269	2	1.296157934	0.35296782
"(69, 41, 61)-(75, 49, 58)"	15.594998	108.315133	1.486884	310	137	#ff0089	81	"(67, 84, 58)-(69, 41, 61)"	0.649198	0.296375	2	3.797328174	NA
"(75, 49, 58)-(76, 49, 59)"	1.224745	1.252198	0.570478	2	0	#0018ff	80	"(69, 41, 61)-(75, 49, 58)"	0.383673	0.078534	2	NA	NA
"(76, 49, 59)-(81, 52, 61)"	6.511124	49.461824	1.555006	180	101	#ff0029	76	"(75, 49, 58)-(76, 49, 59)"	2.725796	5.31631	2	NA	NA
"(81, 52, 61)-(83, 20, 55)"	182.019291	4166.06297	2.699164	16861	10207	#ff000e	73	"(76, 49, 59)-(81, 52, 61)"	1.73579	27.955126	2	1.188124606	0.192466567
"(83, 17, 49)-(83, 20, 55)"	7.535141	58.22721	1.568348	113	20	#2600ff	14	"(81, 52, 61)-(83, 20, 55)"	0.581049	0.041397	2	10.34439461	NA
"(83, 17, 49)-(85, 11, 37)"	17.404238	128.976401	1.535864	364	158	#bbff7fffffffffffff45	6	"(83, 17, 49)-(83, 20, 55)"	0.979288	2.309743	2	2.216414754	NA
"(83, 6, 35)-(85, 11, 37)"	5.564521	20.661268	1.087151	37	4	#90ff7fffffffffffff70	5	"(83, 17, 49)-(85, 11, 37)"	0.707843	0.319722	2	4.614666897	NA
"(83, 6, 35)-(84, 5, 36)"	1.48324	1.252198	0.518389	2	0	#ff0012	4	"(83, 6, 35)-(85, 11, 37)"	0.476833	0.266553	3	NA	NA
"(84, 5, 36)-(89, 3, 36)"	6.169571	14.400278	0.861952	29	6	#00fcff	2	"(83, 6, 35)-(84, 5, 36)"	1.662751	4.159524	2	NA	NA
"(89, 3, 36)-(91, 4, 34)"	3.891201	8.765386	0.846776	21	7	#ff007ffffffffffffe03	1	"(84, 5, 36)-(89, 3, 36)"	0.982394	0.630708	0	NA	NA
"(87, 7, 34)-(89, 3, 36)"	10.314949	30.052754	0.963016	90	42	#ff8c7ffffffffffffe8f	1	"(84, 5, 36)-(89, 3, 36)"	1.117251	1.671907	0	NA	NA
"(83, 5, 39)-(84, 5, 36)"	4.857451	18.156872	1.090791	56	27	#ff00c7	1	"(83, 6, 35)-(84, 5, 36)"	2.104193	3.274893	0	NA	NA
"(79, 4, 39)-(84, 5, 36)"	9.265641	42.574734	1.209381	130	62	#00f8ff	1	"(83, 6, 35)-(84, 5, 36)"	2.332961	6.246894	0	NA	NA
"(76, 6, 34)-(83, 6, 35)"	9.409189	34.435447	1.079324	84	29	#ff0097	1	"(83, 6, 35)-(85, 11, 37)"	0.992801	1.690925	0	NA	NA
"(75, 8, 34)-(85, 11, 37)"	20.945276	88.279964	1.158279	285	144	#1bff7fffffffffffffe5	1	"(83, 17, 49)-(85, 11, 37)"	0.754155	1.203458	0	NA	NA
"(80, 17, 47)-(83, 17, 49)"	3.891201	21.913466	1.338871	62	27	#00ff20	8	"(83, 17, 49)-(83, 20, 55)"	0.853683	0.516407	2	3.928087192	NA
"(79, 18, 42)-(80, 17, 47)"	7.405551	34.435447	1.216604	129	74	#ff0075	1	"(80, 17, 47)-(83, 17, 49)"	0.908679	1.903153	0	NA	NA
"(76, 21, 47)-(80, 17, 47)"	10.033886	31.304952	0.996545	79	29	#00d6ff	7	"(80, 17, 47)-(83, 17, 49)"	0.744317	2.578609	2	NA	NA
"(76, 21, 44)-(76, 21, 47)"	10.360796	36.313744	1.056243	134	76	#00ff25	2	"(76, 21, 47)-(80, 17, 47)"	1.059905	1.032581	2	NA	NA
"(75, 23, 34)-(76, 21, 44)"	13.022933	46.957428	1.071329	202	127	#00ffdf	1	"(76, 21, 44)-(76, 21, 47)"	1.014282	1.256943	0	NA	NA
"(75, 20, 44)-(76, 21, 44)"	1.183216	1.252198	0.580403	2	0	#00ffb2	1	"(76, 21, 44)-(76, 21, 47)"	0.549497	0.114201	0	NA	NA
"(72, 11, 44)-(76, 21, 47)"	17.918307	69.496993	1.111116	164	53	#00ff98	5	"(76, 21, 47)-(80, 17, 47)"	1.114968	1.785779	2	3.396563845	0.390829785
"(72, 11, 44)-(72, 12, 39)"	6.051902	21.913466	1.073581	74	39	#005dff	4	"(72, 11, 44)-(76, 21, 47)"	0.966218	0.33775	2	1.786852088	0.562932208
"(72, 12, 39)-(73, 13, 37)"	2.44949	5.634891	0.855717	18	9	#ffb27ffffffffffffeb5	3	"(72, 11, 44)-(72, 12, 39)"	0.797068	0.404747	2	NA	NA
"(73, 13, 37)-(73, 23, 38)"	10.307024	26.922258	0.911831	62	19	#ff217ffffffffffffe24	2	"(72, 12, 39)-(73, 13, 37)"	1.065575	4.207825	2	NA	1.240783487
"(73, 23, 38)-(75, 22, 42)"	6.918855	21.913466	1.004069	80	45	#00c4ff	1	"(73, 13, 37)-(73, 23, 38)"	1.101157	0.671276	0	NA	NA
"(71, 23, 34)-(73, 23, 38)"	4.827157	13.14808	0.93113	54	33	#00ff04	1	"(73, 13, 37)-(73, 23, 38)"	1.021166	0.468337	0	NA	NA
"(71, 11, 34)-(73, 13, 37)"	4.527133	10.017585	0.839257	21	5	#0091ff	1	"(72, 12, 39)-(73, 13, 37)"	0.980765	1.848194	0	NA	NA
"(71, 11, 39)-(72, 12, 39)"	1.183216	1.252198	0.580403	2	0	#ff0066	1	"(72, 11, 44)-(72, 12, 39)"	0.540623	0.195511	0	NA	NA
"(71, 10, 44)-(72, 11, 44)"	1.183216	1.252198	0.580403	2	0	#8600ff	1	"(72, 11, 44)-(76, 21, 47)"	0.52236	0.066034	0	NA	NA
"(82, 17, 56)-(83, 20, 55)"	3.15656	20.661268	1.443433	42	9	#0058ff	59	"(81, 52, 61)-(83, 20, 55)"	0.53477	0.017342	2	NA	NA
"(82, 17, 56)-(89, 17, 59)"	9.524136	75.131884	1.584617	186	66	#00ff77	58	"(82, 17, 56)-(83, 20, 55)"	1.097812	3.017252	2	1.220840478	NA
"(89, 17, 59)-(89, 17, 60)"	0.894427	1.252198	0.667558	2	0	#ff00dd	57	"(82, 17, 56)-(89, 17, 59)"	0.421274	0.093912	2	NA	NA
"(89, 17, 60)-(93, 47, 59)"	36.082866	209.743176	1.360249	557	222	#ff002d	56	"(89, 17, 59)-(89, 17, 60)"	2.037649	40.34187	2	NA	0.888865936
"(93, 47, 59)-(98, 46, 56)"	7.306255	50.714022	1.48642	116	35	#00ffb6	55	"(89, 17, 60)-(93, 47, 59)"	1.092756	0.202485	2	NA	NA
"(98, 46, 56)-(98, 58, 52)"	14.87169	178.438225	1.954289	318	33	#ff5f7ffffffffffffe62	54	"(93, 47, 59)-(98, 46, 56)"	1.314762	2.035474	2	NA	NA
"(98, 58, 52)-(99, 81, 53)"	25.151829	501.505326	2.519289	1095	294	#00b5ff	39	"(98, 46, 56)-(98, 58, 52)"	1.289108	1.691256	2	NA	NA
"(99, 81, 53)-(99, 103, 58)"	26.592855	668.673768	2.829109	2366	1298	#ffd77ffffffffffffeda	37	"(98, 58, 52)-(99, 81, 53)"	1.122979	1.057293	2	NA	NA
"(99, 103, 58)-(103, 108, 46)"	47.868691	1540.829722	3.200933	5841	3380	#ff357ffffffffffffe38	1	"(99, 81, 53)-(99, 103, 58)"	1.131428	1.800058	0	NA	NA
