 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...	
50.01	448.448	59.6374	1.54711	5.03948	nan	2	40.01	49.01
40.01	134.848	24.4658	1.32455	1.10149	50	2	41.01	33.01
41.01	94.08	14.3966	1.44226	1.14475	40	2	51.01	52.01
51.01	200.704	29.2647	1.47751	1.94036	41	2	55.01	56.01
55.01	37.632	13.4888	0.94236	0.764992	51	0		
56.01	18.816	6.27161	0.977235	0.5	51	0		
52.01	59.584	4.67161	2.01491	1.70086	41	0		
33.01	1735.78	119.279	2.15224	1.55934	40	2	32.01	28.01
32.01	183.456	64.274	0.953176	0.613188	33	0		
28.01	326.144	20.8077	2.23366	1.88831	33	2	21.01	29.01
21.01	4572.29	191.447	2.7572	2.44993	28	2	15.01	22.01
15.01	40849.5	64.3025	14.2202	48.4791	21	2	10.01	16.01
10.01	2555.84	276.691	1.71473	1.33567	15	2	9.01	7.01
9.01	116.032	20.284	1.34939	0.98556	10	2	13.01	14.01
13.01	210.112	48.2735	1.17705	1.3134	9	0		
14.01	551.936	93.1039	1.37368	1.66425	9	0		
7.01	1624.45	247.68	1.44488	1.16679	10	2	4.01	8.01
4.01	79.968	1.4	4.26402	2.26135	7	2	2.01	3.01
2.01	211.68	5.34558	3.55032	2.46501	4	2	1.01	0.01
1.01	81.536	7.07107	1.91583	1.68468	2	0		
0.01	1125.82	94.1662	1.9508	1.58894	2	0		
3.01	123.349	28.5007	1.17372	0.954906	4	2	5.01	6.01
5.01	195.477	64.6688	0.980903	0.707617	3	0		
6.01	1.04533	0.5	0.815769	0	3	0		
8.01	608.384	28.9865	2.58474	1.96194	7	2	11.01	12.01
11.01	1668.35	78.2572	2.60499	2.42491	8	2	17.01	18.01
17.01	373.184	13.4255	2.97455	2.77603	11	2	23.01	24.01
23.01	128.576	12.0113	1.84591	1.92819	17	0		
24.01	275.968	30.264	1.70369	2.44821	17	0		
18.01	62.72	2.12603	3.06439	2.04931	11	1	25.01	
25.01	495.488	39.576	1.9963	2.47251	18	0		
12.01	1848.67	105.253	2.36449	1.74905	8	2	19.01	20.01
19.01	64.288	4.67161	2.09294	1.70649	12	0		
20.01	181.888	6.1799	3.06081	1.84623	12	2	26.01	27.01
26.01	238.336	22.7025	1.82803	2.24794	20	0		
27.01	410.816	27.1899	2.19303	1.69268	20	2	30.01	31.01
30.01	367.957	59.6292	1.4015	1.42195	27	2	36.01	37.01
36.01	14.112	4.52548	0.996292	0.93229	30	0		
37.01	66.3787	25.1728	0.916164	0.680251	30	2	44.01	45.01
44.01	145.301	47.8753	0.982888	0.676168	37	0		
45.01	1.04533	0.5	0.815769	0	37	0		
31.01	116.032	8.88583	2.03875	1.51196	27	2	38.01	39.01
38.01	4.18133	0.5	1.63154	1.06301	31	2	46.01	47.01
46.01	13.5893	5.50593	0.886357	0.425206	38	0		
47.01	4.18133	0.5	1.63154	1.06301	38	0		
39.01	1464.51	118.5	1.98341	1.8245	31	1	48.01	
48.01	116.032	19.3368	1.38204	1.15288	39	2	53.01	54.01
53.01	40.768	13.2314	0.990334	0.753665	48	0		
54.01	170.389	28.154	1.38796	1.27932	48	2	57.01	58.01
57.01	8.36267	5.65206	0.686269	0	54	2	59.01	60.01
59.01	19.8613	6.79764	0.964384	0.930056	57	0		
60.01	1.04533	0.5	0.815769	0	57	0		
58.01	1.04533	0.5	0.815769	0	54	0		
16.01	2367.68	142.291	2.30143	1.76896	15	0		
22.01	470.4	6.65151	4.74459	3.38119	21	0		
29.01	418.656	52.1457	1.59862	1.86938	28	2	34.01	35.01
34.01	51.744	8.05151	1.43026	1.14623	29	2	42.01	43.01
42.01	249.312	67.9392	1.08078	0.849256	34	0		
43.01	23.52	9.30538	0.896967	0.35	34	0		
35.01	78.4	25.9647	0.980374	0.605041	29	0		
49.01	119.168	25.2669	1.22526	1.11936	50	0		
24.02	44495.1	592.788	4.888	21.7779	N/A	2	18.02	23.02
18.02	197.568	1.9799	5.63588	3.43985	24	2	17.02	13.02
17.02	310.464	7.3397	3.66937	3.05248	18	2	21.02	22.02
21.02	181.888	8.6172	2.59205	3.44788	17	2	27.02	28.02
27.02	213.248	7.89117	2.9329	3.44779	21	2	31.02	32.02
31.02	401.408	20.7746	2.48	4.46244	27	0		
32.02	18.816	1.9799	1.73927	0.966667	27	0		
28.02	12.544	1.4	1.6888	1.51532	21	0		
22.02	536.256	2.54558	8.18875	10.0897	17	0		
13.02	185.024	3.9598	3.85658	2.51455	18	2	11.02	14.02
11.02	3317.89	55.96	4.34427	4.52396	13	2	8.02	12.02
8.02	2319.07	21.7789	5.82189	5.56314	11	2	7.02	6.02
7.02	1398.66	33.1369	3.66543	4.15138	8	2	9.02	10.02
9.02	420.224	39.7694	1.83397	3.08297	7	0		
10.02	388.864	49.0351	1.5888	1.66008	7	0		
6.02	2979.2	46.2021	4.53048	3.97891	8	2	4.02	5.02
4.02	285.376	7.9196	3.38674	2.6582	6	2	2.02	3.02
2.02	123.872	22.2877	1.33008	1.547	4	2	0.02	1.02
0.02	29.792	11.2853	0.916682	0.42	2	0		
1.02	47.04	6.90593	1.47247	0.971993	2	0		
3.02	90.944	5.3598	2.32401	3.17138	4	0		
5.02	291.648	17.3711	2.31175	2.15203	6	0		
12.02	2262.62	18.4883	6.24142	5.24324	11	2	15.02	16.02
15.02	765.184	14.7078	4.06943	3.54194	12	2	19.02	20.02
19.02	97.216	18.851	1.28123	1.01624	15	0		
20.02	64.288	5.09117	2.00485	1.68896				
