tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
patient16.gd	"(109, 246, 28)-(114, 257, 36)"	21.016688	1916.08728	5.387045	1277	195	#00ceff	156	NA	NA	NA	2	0.759771381	0.592639049
patient16.gd	"(114, 257, 36)-(121, 261, 29)"	13.586623	609.181168	3.777831	438	94	#d700ff	150	"(109, 246, 28)-(114, 257, 36)"	0.701281	0.646468	2	1.272799776	0.747386357
patient16.gd	"(121, 261, 29)-(124, 257, 30)"	7.600606	200.10893	2.894904	158	45	#ff727ffffffffffffe75	5	"(114, 257, 36)-(121, 261, 29)"	0.766287	0.559418	2	1.590211729	NA
patient16.gd	"(124, 257, 30)-(132, 238, 39)"	30.718764	145.21179	1.22666	96	14	#ff0c7ffffffffffffe0f	1	"(121, 261, 29)-(124, 257, 30)"	0.423731	4.04162	0	NA	NA
patient16.gd	"(124, 257, 30)-(126, 254, 29)"	7.600606	138.128288	2.405151	106	28	#b700ff	4	"(121, 261, 29)-(124, 257, 30)"	0.830822	1	2	1.379873511	NA
patient16.gd	"(126, 254, 29)-(130, 251, 27)"	7.051771	85.002024	1.958802	53	5	#00fff3	3	"(124, 257, 30)-(126, 254, 29)"	0.81442	0.927791	2	1.658004935	NA
patient16.gd	"(130, 251, 27)-(136, 250, 24)"	9.967038	86.772899	1.664693	54	5	#2f00ff	1	"(126, 254, 29)-(130, 251, 27)"	0.849852	1.413409	0	NA	NA
patient16.gd	"(129, 250, 27)-(130, 251, 27)"	1.67332	3.541751	0.820814	2	0	#00ffbc	2	"(126, 254, 29)-(130, 251, 27)"	0.419039	0.237291	2	NA	NA
patient16.gd	"(129, 238, 21)-(129, 250, 27)"	18.222734	47.813638	0.913891	28	1	#4900ff	1	"(129, 250, 27)-(130, 251, 27)"	1.113396	10.890167	0	NA	NA
patient16.gd	"(127, 240, 31)-(129, 250, 27)"	14.88317	53.126265	1.065938	31	1	#b2ff7fffffffffffff4e	1	"(129, 250, 27)-(130, 251, 27)"	1.298636	8.894395	0	NA	NA
patient16.gd	"(123, 232, 28)-(126, 254, 29)"	28.898493	69.064144	0.872195	46	7	#00ff96	1	"(124, 257, 30)-(126, 254, 29)"	0.362637	3.80213	0	NA	NA
patient16.gd	"(120, 262, 27)-(121, 261, 29)"	3.362529	21.250506	1.418328	22	10	#00ff04	145	"(114, 257, 36)-(121, 261, 29)"	0.375434	0.247488	2	NA	NA
patient16.gd	"(120, 262, 27)-(126, 266, 32)"	11.305738	669.390935	4.341257	475	97	#32ff7fffffffffffffce	27	"(120, 262, 27)-(121, 261, 29)"	3.060827	3.362272	2	0.834701102	NA
patient16.gd	"(126, 266, 32)-(143, 252, 38)"	30.495047	302.819709	1.77788	253	82	#cbff7fffffffffffff35	1	"(120, 262, 27)-(126, 266, 32)"	0.409531	2.697307	0	NA	NA
patient16.gd	"(126, 266, 32)-(128, 268, 34)"	4.195235	53.126265	2.007713	47	17	#ffd57ffffffffffffed8	26	"(120, 262, 27)-(126, 266, 32)"	0.462473	0.371071	2	NA	NA
patient16.gd	"(128, 268, 34)-(130, 271, 37)"	5.927286	104.481654	2.368739	64	5	#ff0084	5	"(126, 266, 32)-(128, 268, 34)"	1.17982	1.412861	3	1.989090042	NA
patient16.gd	"(130, 271, 37)-(137, 276, 41)"	12.55476	40.730136	1.016199	23	0	#00ff26	1	"(128, 268, 34)-(130, 271, 37)"	0.429004	2.11813	0	NA	NA
patient16.gd	"(130, 270, 39)-(130, 271, 37)"	3.829669	21.250506	1.329013	12	0	#ffdd7ffffffffffffee0	2	"(128, 268, 34)-(130, 271, 37)"	0.561063	0.646108	2	1.634934563	NA
patient16.gd	"(130, 270, 39)-(133, 270, 44)"	8.558681	26.563132	0.993943	15	0	#008cff	1	"(130, 270, 39)-(130, 271, 37)"	0.74788	2.234836	0	NA	NA
patient16.gd	"(127, 267, 42)-(130, 270, 39)"	6.292853	10.625253	0.733113	6	0	#ffe97ffffffffffffeec	1	"(130, 270, 39)-(130, 271, 37)"	0.551622	1.643185	0	NA	NA
patient16.gd	"(126, 280, 39)-(130, 271, 37)"	13.582492	118.648658	1.667503	76	9	#c100ff	2	"(128, 268, 34)-(130, 271, 37)"	0.703963	2.29152	2	1.147082582	NA
patient16.gd	"(125, 279, 38)-(126, 280, 39)"	2.097618	3.541751	0.733113	2	0	#00ff3a	1	"(126, 280, 39)-(130, 271, 37)"	0.439647	0.154435	0	NA	NA
patient16.gd	"(124, 296, 42)-(126, 280, 39)"	22.531301	83.231148	1.084363	47	0	#7000ff	1	"(126, 280, 39)-(130, 271, 37)"	0.650292	1.658849	0	NA	NA
patient16.gd	"(128, 268, 34)-(129, 270, 32)"	3.829669	49.584514	2.0301	44	16	#cdff7fffffffffffff33	21	"(126, 266, 32)-(128, 268, 34)"	1.011151	0.912861	2	NA	NA
patient16.gd	"(129, 270, 32)-(135, 270, 28)"	10.88144	219.588561	2.534468	141	17	#1900ff	2	"(128, 268, 34)-(129, 270, 32)"	1.248444	2.841353	2	1.186023413	NA
patient16.gd	"(135, 270, 28)-(150, 272, 26)"	20.681788	115.106907	1.331011	68	3	#ff00d6	1	"(129, 270, 32)-(135, 270, 28)"	0.525164	1.900648	0	NA	NA
patient16.gd	"(135, 270, 28)-(141, 269, 19)"	14.654178	102.710778	1.493662	66	8	#1d00ff	1	"(129, 270, 32)-(135, 270, 28)"	0.58934	1.346713	0	NA	NA
patient16.gd	"(129, 270, 32)-(130, 275, 31)"	6.830482	185.941926	2.943663	130	25	#ff001b	19	"(128, 268, 34)-(129, 270, 32)"	1.450009	1.78357	2	0.652170171	0.680729553
patient16.gd	"(130, 275, 31)-(130, 276, 32)"	1.732051	3.541751	0.806777	2	0	#7300ff	15	"(129, 270, 32)-(130, 275, 31)"	0.274073	0.253577	2	NA	NA
patient16.gd	"(130, 276, 32)-(132, 275, 34)"	3.829669	31.875759	1.627701	23	5	#00ffa9	1	"(130, 275, 31)-(130, 276, 32)"	2.017535	2.21106	0	NA	NA
patient16.gd	"(130, 276, 32)-(131, 283, 35)"	12.247924	201.879806	2.290553	118	4	#1c00ff	14	"(130, 275, 31)-(130, 276, 32)"	2.839138	7.071342	2	4.841869857	1.242154666
patient16.gd	"(131, 283, 35)-(134, 285, 33)"	7.192197	92.085525	2.018784	65	13	#ff0093	10	"(130, 276, 32)-(131, 283, 35)"	0.881353	0.587218	2	1.330790111	1.226153359
patient16.gd	"(134, 285, 33)-(135, 284, 34)"	2.097618	3.541751	0.733113	2	0	#b0ff7fffffffffffff50	1	"(131, 283, 35)-(134, 285, 33)"	0.363146	0.291652	0	NA	NA
patient16.gd	"(133, 288, 33)-(134, 285, 33)"	5.868555	47.813638	1.610406	29	2	#00a4ff	9	"(131, 283, 35)-(134, 285, 33)"	0.797711	0.815961	2	1.56123332	NA
patient16.gd	"(133, 288, 33)-(146, 301, 28)"	25.532911	122.190409	1.234222	76	7	#ff00f5	2	"(133, 288, 33)-(134, 285, 33)"	0.766405	4.3508	2	2.080826892	0.720467053
patient16.gd	"(146, 301, 28)-(153, 300, 29)"	11.274791	26.563132	0.865985	15	0	#ffc77ffffffffffffeca	1	"(133, 288, 33)-(146, 301, 28)"	0.701644	0.441579	0	NA	NA
patient16.gd	"(146, 301, 28)-(150, 306, 29)"	8.300794	21.250506	0.902713	12	0	#1600ff	1	"(133, 288, 33)-(146, 301, 28)"	0.731402	0.325102	0	NA	NA
patient16.gd	"(133, 288, 33)-(133, 289, 34)"	1.732051	3.541751	0.806777	2	0	#ffd57ffffffffffffed8	7	"(133, 288, 33)-(134, 285, 33)"	0.500978	0.295141	2	NA	NA
patient16.gd	"(133, 289, 34)-(135, 292, 34)"	4.529856	47.813638	1.832984	28	1	#ffe57ffffffffffffee8	5	"(133, 288, 33)-(133, 289, 34)"	2.271983	2.615314	2	3.720865742	NA
patient16.gd	"(135, 292, 34)-(136, 293, 34)"	1.67332	3.541751	0.820814	2	0	#ff6d7ffffffffffffe70	3	"(133, 289, 34)-(135, 292, 34)"	0.447802	0.369398	2	NA	NA
patient16.gd	"(136, 293, 34)-(143, 295, 36)"	11.091523	38.959261	1.057389	23	1	#008bff	1	"(135, 292, 34)-(136, 293, 34)"	1.288221	6.628453	0	NA	NA
patient16.gd	"(136, 293, 34)-(139, 306, 32)"	17.949789	109.79428	1.395357	62	0	#ff0051	2	"(135, 292, 34)-(136, 293, 34)"	1.699968	10.727051	2	1.598965945	3.710684653
patient16.gd	"(139, 306, 32)-(145, 317, 33)"	16.504835	47.813638	0.960274	27	0	#fa00ff	1	"(136, 293, 34)-(139, 306, 32)"	0.688193	0.9195	0	NA	NA
patient16.gd	"(139, 306, 32)-(142, 314, 29)"	12.582544	28.334008	0.846632	16	0	#0054ff	1	"(136, 293, 34)-(139, 306, 32)"	0.60675	0.700986	0	NA	NA
patient16.gd	"(132, 299, 35)-(135, 292, 34)"	10.177122	104.481654	1.807726	62	3	#a3ff7fffffffffffff5d	2	"(133, 289, 34)-(135, 292, 34)"	0.98622	2.246677	2	1.555571509	NA
patient16.gd	"(132, 299, 35)-(137, 309, 38)"	15.68011	38.959261	0.889316	23	1	#ff002f	1	"(132, 299, 35)-(135, 292, 34)"	0.491953	1.540722	0	NA	NA
patient16.gd	"(127, 317, 32)-(132, 299, 35)"	27.223716	166.462296	1.395113	95	1	#00ff14	1	"(132, 299, 35)-(135, 292, 34)"	0.77175	2.674992	0	NA	NA
