 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
32.001	9028.54	68.6595	6.46969	5.84402	nan	2	18.001	31.001	
18.001	377.888	7.07107	4.12443	3.0539	32	2	17.001	8.001	
17.001	662.741	21.5055	3.13201	3.40369	18	2	29.001	30.001	
29.001	148.437	14.2883	1.81847	2.23725	17	2	37.001	23.001	
37.001	109.76	8.6172	2.01356	2.01615	29	0			
23.001	14.112	0.5	2.99733	1.78926	29	2	24.001	13.001	
24.001	6.272	1.4	1.19416	0	23	0			
13.001	12.544	0.5	2.82591	1.28151	23	2	6.001	14.001	
6.001	859.264	32.9321	2.8819	2.41158	13	2	5.001	2.001	
5.001	5328.06	165.944	3.1969	2.80095	6	2	11.001	12.001	
11.001	23.52	0.5	3.86953	1.59435	5	2	19.001	20.001	
19.001	415.52	62.2582	1.45755	1.20343	11	0			
20.001	65.856	6.65151	1.77526	1.4195	11	2	33.001	34.001	
33.001	442.176	108.83	1.13723	0.931798	20	0			
34.001	401.408	46.7393	1.6534	1.42512	20	2	42.001	43.001	
42.001	47.04	14.425	1.01883	0.666667	34	0			
43.001	508.032	85.4335	1.3758	1.19471	34	0			
12.001	2148.16	126.774	2.32243	1.68124	5	2	21.001	22.001	
21.001	266.56	11.4314	2.72441	2.25817	12	2	35.001	36.001	
35.001	148.96	21.0291	1.50159	1.28359	21	2	44.001	45.001	
44.001	310.464	32.9881	1.73082	1.65013	35	2	54.001	55.001	
54.001	352.8	48.5847	1.52034	6.16184	44	2	66.001	67.001	
66.001	9.408	3.94558	0.8712	0	54	0			
67.001	21.952	6.07161	1.07278	0.6	54	0			
55.001	17.248	1.4	1.9803	0.933333	44	0			
45.001	90.944	16.9894	1.30534	1.14454	35	2	39.001	50.001	
39.001	2665.6	167.452	2.25101	1.65937	45	2	38.001	26.001	
38.001	68.992	3.94558	2.35922	1.59891	39	2	48.001	49.001	
48.001	103.488	6.49117	2.25273	1.61537	38	2	60.001	61.001	
60.001	235.2	78.3066	0.977787	0.684529	48	0			
61.001	247.744	19.4829	2.01187	1.5091	48	2	71.001	72.001	
71.001	125.44	34.7232	1.07234	0.837146	61	0			
72.001	275.968	24.5741	1.89067	1.43246	61	2	76.001	77.001	
76.001	323.008	36.7457	1.67274	1.49972	72	2	80.001	81.001	
80.001	382.592	96.9505	1.12077	0.849041	76	2	86.001	87.001	
86.001	44.9493	20.1947	0.84172	0.411993	80	2	92.001	93.001	
92.001	54.3573	24.5604	0.839337	0.4	86	0			
93.001	1.04533	0.5	0.815769	0	86	0			
87.001	3.136	0	inf	0	80	0			
81.001	65.856	18.4314	1.06646	0.65362	76	0			
77.001	144.256	12.4119	1.92342	1.3838	72	2	82.001	83.001	
82.001	332.416	75.8778	1.18089	0.982846	77	0			
83.001	37.632	13.5054	0.941782	0.35	77	0			
49.001	417.088	55.1823	1.5511	1.23281	38	2	62.001	63.001	
62.001	119.168	21.7741	1.31988	1.05157	49	0			
63.001	235.2	32.0505	1.52836	1.30694	49	0			
26.001	169.344	6.1799	2.95338	1.93402	39	1	25.001		
25.001	150.528	36.6747	1.14301	0.863154	26	0			
50.001	90.944	6.74558	2.07158	1.33207	45	2	64.001	65.001	
64.001	90.944	19.4971	1.2185	0.920894	50	1	73.001		
73.001	78.4	5.09117	2.21398	1.70687	64	2	78.001	79.001	
78.001	81.536	9.34323	1.66668	1.42077	73	2	84.001	85.001	
84.001	78.4	17.3432	1.19955	1.09289	78	2	88.001	89.001	
88.001	53.312	10.3237	1.2821	1.48605	84	2	94.001	95.001	
94.001	228.928	52.5736	1.17731	2.27009	88	0			
95.001	9.408	3.3799	0.941287	0	88	0			
89.001	90.944	25.7055	1.06121	0.8	84	2	96.001	97.001	
96.001	9.408	6.49117	0.679223	0	89	0			
97.001	78.4	25.5752	0.987811	0.589041	89	0			
85.001	56.448	10.0172	1.33929	1.13761	78	2	90.001	91.001	
90.001	9.408	5.09117	0.766946	0	85	0			
91.001	3.136	0.5	1.41295	0	85	2	98.001	99.001	
98.001	25.088	6.7598	1.0869	0.597487	91	0			
99.001	56.448	11.851	1.23132	1.02397	91	0			
79.001	37.632	11.0309	1.04207	0.777169	73	0			
65.001	84.672	19.0255	1.19022	0.831558	50	0			
36.001	192.864	24.2486	1.59114	1.34831	21	2	46.001	47.001	
46.001	14.112	1.9799	1.50625	0.84	36	2	56.001	57.001	
56.001	10.4533	4.67161	0.843954	0.35	46	2	59.001	68.001	
59.001	16.7253	8.29117	0.801317	0.233333	56	1	58.001		
58.001	53.312	12.0172	1.18833	0.923878	59	2	69.001	70.001	
69.001	12.544	4.67161	0.924506	0.4	58	0			
70.001	18.816	1.4	2.06835	0.966667	58	2	74.001	75.001	
74.001	40.768	17.3213	0.865554	0.446154	70	0			
75.001	232.064	72.3765	1.01025	0.755214	70	0			
68.001	1.04533	0.5	0.815769	0	56	0			
57.001	34.496	8.72548	1.1218	0.844805	46	0			
47.001	119.168	22.632	1.29462	1.2776	36	0			
