tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(142, 490, 61)-(156, 491, 62)	29.053048	8256.463650	9.511001	83349	78799	#ffbe7ffffffffffffec1	23	NA	NA	NA	2	0.373170475274	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(142, 490, 61)-(235, 499, 61)	117.103549	2103.129971	2.390964	9578	8419	#00ffdc	7	(142, 490, 61)-(156, 491, 62)	0.251389	4.030680	2	3.92018844254	0.191489046403
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(235, 499, 61)-(237, 499, 61)	3.346640	54.438222	2.275477	254	224	#ff00a9	6	(142, 490, 61)-(235, 499, 61)	0.951699	0.028578	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(237, 499, 61)-(242, 499, 61)	6.896288	228.640532	3.248583	884	758	#4eff7fffffffffffffb2	5	(235, 499, 61)-(237, 499, 61)	1.427649	2.060660	2	1.00104341071	1.26630121852
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(242, 499, 61)-(245, 499, 61)	4.529856	50.809007	1.889527	254	226	#00a8ff	4	(237, 499, 61)-(242, 499, 61)	0.581647	0.656854	2	9.60955474513	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(245, 499, 61)-(257, 499, 61)	15.178800	165.129273	1.860880	821	730	#005fff	3	(242, 499, 61)-(245, 499, 61)	0.984839	3.350835	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(257, 499, 61)-(280, 500, 61)	28.684279	812.944113	3.003540	3341	2893	#ff0010	2	(245, 499, 61)-(257, 499, 61)	1.614043	1.889759	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(280, 500, 61)-(299, 502, 62)	32.112592	2531.377317	5.009171	16380	14985	#ff6f7ffffffffffffe72	1	(257, 499, 61)-(280, 500, 61)	1.667756	1.119519	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(277, 501, 62)-(280, 500, 61)	4.611529	47.179792	1.804599	252	226	#fff57ffffffffffffef8	1	(257, 499, 61)-(280, 500, 61)	0.600824	0.160769	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(255, 500, 62)-(257, 499, 61)	3.428313	34.477541	1.789176	189	170	#ff00d5	1	(245, 499, 61)-(257, 499, 61)	0.961467	0.225862	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(245, 499, 61)-(245, 501, 62)	2.938209	21.775289	1.535910	126	114	#ffa07ffffffffffffea3	1	(242, 499, 61)-(245, 499, 61)	0.812854	0.648632	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(242, 499, 61)-(243, 501, 62)	3.428313	19.960681	1.361359	126	115	#00ff2f	1	(237, 499, 61)-(242, 499, 61)	0.419062	0.497124	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(237, 499, 61)-(237, 500, 62)	1.754993	3.629215	0.811323	2	0	#31ff7fffffffffffffcf	1	(235, 499, 61)-(237, 499, 61)	0.356551	0.524404	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(235, 499, 61)-(235, 501, 62)	2.938209	21.775289	1.535910	126	114	#5fff7fffffffffffffa1	1	(142, 490, 61)-(235, 499, 61)	0.642381	0.025091	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(141, 491, 61)-(142, 490, 61)	1.673320	3.629215	0.830887	2	0	#ff777ffffffffffffe7a	16	(142, 490, 61)-(156, 491, 62)	0.087361	0.057595	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(132, 490, 62)-(141, 491, 61)	14.651449	531.679967	3.398677	2205	1912	#0037ff	1	(141, 491, 61)-(142, 490, 61)	4.090421	8.755916	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(119, 491, 61)-(141, 491, 61)	28.684279	665.960914	2.718488	2900	2533	#00baff	15	(141, 491, 61)-(142, 490, 61)	3.271791	17.142136	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(113, 487, 61)-(119, 491, 61)	18.119424	943.595846	4.071420	3467	2947	#ff0054	13	(119, 491, 61)-(141, 491, 61)	1.497678	0.631685	2	1.23138417861	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(109, 489, 62)-(113, 487, 61)	6.977961	87.101155	1.993300	441	393	#9000ff	1	(113, 487, 61)-(119, 491, 61)	0.489584	0.385109	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(45, 484, 61)-(113, 487, 61)	91.731079	1999.697350	2.634201	8880	7778	#5900ff	12	(113, 487, 61)-(119, 491, 61)	0.646998	5.062582	2	1.96821835976	0.26316780803
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(45, 484, 61)-(45, 486, 62)	2.938209	21.775289	1.535910	126	114	#07ff7ffffffffffffff9	1	(45, 484, 61)-(113, 487, 61)	0.583065	0.032031	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(35, 484, 61)-(45, 484, 61)	12.812368	181.460740	2.123253	884	784	#00ffcd	11	(45, 484, 61)-(113, 487, 61)	0.806033	0.139673	2	1.20595069365	0.421802203222
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(35, 484, 61)-(35, 485, 62)	1.754993	3.629215	0.811323	2	0	#1c00ff	1	(35, 484, 61)-(45, 484, 61)	0.382113	0.136976	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(33, 484, 61)-(35, 484, 61)	3.346640	25.404504	1.554447	128	114	#8c00ff	10	(35, 484, 61)-(45, 484, 61)	0.732106	0.261204	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(33, 484, 61)-(33, 485, 62)	1.754993	3.629215	0.811323	2	0	#00a7ff	1	(33, 484, 61)-(35, 484, 61)	0.521937	0.524404	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(31, 484, 61)-(33, 484, 61)	3.346640	25.404504	1.554447	128	114	#fdff7fffffffffffff03	9	(33, 484, 61)-(35, 484, 61)	1.000000	1.000000	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(31, 484, 61)-(31, 485, 62)	1.754993	3.629215	0.811323	2	0	#ff0013	1	(31, 484, 61)-(33, 484, 61)	0.521937	0.524404	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(29, 487, 61)-(31, 484, 61)	6.896288	76.213511	1.875570	380	338	#0015ff	8	(31, 484, 61)-(33, 484, 61)	1.206584	2.060660	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(29, 487, 61)-(44, 492, 62)	29.543153	1529.714034	4.059773	6742	5899	#00a0ff	1	(29, 487, 61)-(31, 484, 61)	2.164554	4.283921	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(25, 489, 61)-(29, 487, 61)	6.693280	252.230428	3.463413	1009	870	#82ff7fffffffffffff7e	7	(29, 487, 61)-(31, 484, 61)	1.846592	0.970563	2	1.57670543508	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(21, 491, 62)-(25, 489, 61)	6.977961	87.101155	1.993300	441	393	#8900ff	1	(25, 489, 61)-(29, 487, 61)	0.575531	1.042532	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(9, 488, 61)-(25, 489, 61)	20.401768	386.511375	2.455683	1766	1553	#ff0e7ffffffffffffe11	6	(25, 489, 61)-(29, 487, 61)	0.709036	3.048097	2	NA	0.986505642988
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(7, 492, 61)-(9, 488, 61)	5.713072	201.421421	3.349986	821	710	#00ff0c	5	(9, 488, 61)-(25, 489, 61)	1.364177	0.280028	2	1.74700029974	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(7, 492, 61)-(106, 499, 61)	122.529525	2277.332281	2.432304	10397	9142	#ff00cb	4	(7, 492, 61)-(9, 488, 61)	0.726064	21.447222	2	1.3624104218	0.251970950104
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(106, 499, 61)-(122, 499, 61)	20.891872	281.264146	2.070111	1388	1233	#003fff	3	(7, 492, 61)-(106, 499, 61)	0.851090	0.170505	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(122, 499, 61)-(145, 500, 61)	28.684279	856.494691	3.082943	3530	3058	#22ff7fffffffffffffde	2	(106, 499, 61)-(122, 499, 61)	1.489265	1.372988	2	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(145, 500, 61)-(164, 502, 62)	34.479024	1889.006299	4.176036	10143	9102	#ffeb7ffffffffffffeee	1	(122, 499, 61)-(145, 500, 61)	1.354562	1.202018	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(142, 501, 62)-(145, 500, 61)	4.611529	47.179792	1.804599	252	226	#00a3ff	1	(122, 499, 61)-(145, 500, 61)	0.585349	0.160769	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(121, 500, 62)-(122, 499, 61)	2.116601	3.629215	0.738774	2	0	#ff8b7ffffffffffffe8e	1	(106, 499, 61)-(122, 499, 61)	0.356877	0.101312	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(105, 500, 62)-(106, 499, 61)	2.116601	3.629215	0.738774	2	0	#b700ff	1	(7, 492, 61)-(106, 499, 61)	0.303734	0.017274	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(0, 493, 62)-(7, 492, 61)	10.324601	137.910162	2.061990	692	616	#0069ff	1	(7, 492, 61)-(9, 488, 61)	0.615522	1.807189	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(0, 487, 62)-(9, 488, 61)	14.522953	537.123789	3.431111	2140	1844	#ff0071	1	(9, 488, 61)-(25, 489, 61)	1.397213	0.711848	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(71, 492, 61)-(119, 491, 61)	63.165719	1756.539959	2.975181	7248	6280	#00ffb7	2	(119, 491, 61)-(141, 491, 61)	1.094425	2.202102	2	2.42610220844	0.294499793532
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(69, 493, 62)-(71, 492, 61)	3.428313	34.477541	1.789176	189	170	#00c2ff	1	(71, 492, 61)-(119, 491, 61)	0.601367	0.054275	0	NA	NA
/Users/davidhunt/Desktop/angicart-master_0715/patient1.gd	(65, 491, 62)-(71, 492, 61)	9.706001	203.236028	2.581697	885	773	#ff00c9	1	(71, 492, 61)-(119, 491, 61)	0.867745	0.153659	0	NA	NA
