tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
patient3.gd	"(102, 246, 29)-(103, 257, 38)"	19.877146	2319.846891	6.095056	1509	199	#0081ff	54	NA	NA	NA	2	2.151899363	NA
patient3.gd	"(103, 257, 38)-(110, 263, 30)"	16.415375	720.746324	3.738444	573	166	#ff717ffffffffffffe74	52	"(102, 246, 29)-(103, 257, 38)"	0.613357	0.825842	2	NA	NA
patient3.gd	"(110, 263, 30)-(112, 265, 30)"	3.34664	30.104883	1.692151	26	9	#0031ff	31	"(103, 257, 38)-(110, 263, 30)"	0.452635	0.203872	2	NA	NA
patient3.gd	"(112, 265, 30)-(116, 267, 33)"	7.966173	308.132335	3.508883	273	99	#00d4ff	30	"(110, 263, 30)-(112, 265, 30)"	2.073623	2.38035	2	NA	NA
patient3.gd	"(116, 267, 33)-(120, 274, 38)"	12.613491	630.431674	3.988655	397	41	#69ff7fffffffffffff97	22	"(112, 265, 30)-(116, 267, 33)"	1.136731	1.583381	2	1.325878035	NA
patient3.gd	"(120, 274, 38)-(125, 284, 37)"	14.706978	577.30541	3.534811	344	18	#ff0074	19	"(116, 267, 33)-(120, 274, 38)"	0.886216	1.165972	2	0.932494752	0.619960076
patient3.gd	"(125, 284, 37)-(126, 286, 37)"	3.829669	30.104883	1.581841	17	0	#00ff25	4	"(120, 274, 38)-(125, 284, 37)"	0.447504	0.260398	2	NA	NA
patient3.gd	"(126, 286, 37)-(132, 295, 32)"	17.508914	155.837043	1.683181	105	17	#ff0097	1	"(125, 284, 37)-(126, 286, 37)"	1.064064	4.571914	0	NA	NA
patient3.gd	"(125, 292, 37)-(126, 286, 37)"	8.569608	123.961284	2.145792	70	0	#00ffb2	3	"(125, 284, 37)-(126, 286, 37)"	1.356515	2.237689	2	2.045147494	NA
patient3.gd	"(125, 292, 37)-(127, 293, 38)"	3.280834	12.396128	1.09667	7	0	#90ff7fffffffffffff70	1	"(125, 292, 37)-(126, 286, 37)"	0.511079	0.382845	0	NA	NA
patient3.gd	"(123, 301, 36)-(125, 292, 37)"	13.033658	141.670039	1.860077	84	4	#00ffdf	2	"(125, 292, 37)-(126, 286, 37)"	0.866849	1.520916	2	1.473935405	NA
patient3.gd	"(123, 301, 36)-(126, 305, 36)"	6.203176	19.47963	0.999789	12	1	#bbff7fffffffffffff45	1	"(123, 301, 36)-(125, 292, 37)"	0.537499	0.475935	0	NA	NA
patient3.gd	"(117, 317, 34)-(123, 301, 36)"	24.791477	134.586537	1.314543	79	3	#ff0075	1	"(123, 301, 36)-(125, 292, 37)"	0.706714	1.902112	0	NA	NA
patient3.gd	"(122, 287, 39)-(125, 284, 37)"	5.868555	58.438891	1.780371	37	4	#0018ff	15	"(120, 274, 38)-(125, 284, 37)"	0.503668	0.399032	3	NA	NA
patient3.gd	"(122, 287, 39)-(130, 288, 43)"	12.867247	33.646634	0.912332	19	0	#00c4ff	1	"(122, 287, 39)-(125, 284, 37)"	0.51244	2.192575	0	NA	NA
patient3.gd	"(119, 285, 43)-(122, 287, 39)"	7.192197	42.501012	1.371494	24	0	#ff3f7ffffffffffffe42	2	"(122, 287, 39)-(125, 284, 37)"	0.770342	1.225548	2	NA	NA
patient3.gd	"(119, 285, 43)-(123, 278, 49)"	13.037788	81.460273	1.41025	46	0	#ff307ffffffffffffe33	1	"(119, 285, 43)-(122, 287, 39)"	1.028258	1.812768	0	NA	NA
patient3.gd	"(116, 284, 44)-(119, 285, 43)"	4.588587	15.937879	1.05148	12	3	#2c00ff	1	"(119, 285, 43)-(122, 287, 39)"	0.766667	0.637995	0	NA	NA
patient3.gd	"(118, 293, 34)-(122, 287, 39)"	12.372461	141.670039	1.909132	85	5	#ff006e	12	"(122, 287, 39)-(125, 284, 37)"	1.072323	2.108263	2	1.537604384	0.778132991
patient3.gd	"(118, 293, 34)-(118, 295, 34)"	4.195235	12.396128	0.969817	9	2	#ff00cd	1	"(118, 293, 34)-(122, 287, 39)"	0.507989	0.339078	0	NA	NA
patient3.gd	"(118, 293, 30)-(118, 293, 34)"	5.993924	38.959261	1.438384	23	1	#ff00b5	11	"(118, 293, 34)-(122, 287, 39)"	0.753423	0.484457	3	NA	NA
patient3.gd	"(118, 293, 30)-(121, 294, 27)"	6.292853	33.646634	1.304584	24	5	#00ff04	1	"(118, 293, 30)-(118, 293, 34)"	0.906979	1.049872	0	NA	NA
patient3.gd	"(117, 294, 29)-(118, 293, 30)"	2.097618	3.541751	0.733113	2	0	#ff000e	6	"(118, 293, 30)-(118, 293, 34)"	0.509678	0.349957	2	NA	NA
patient3.gd	"(117, 294, 29)-(120, 297, 30)"	5.444258	31.875759	1.365168	20	2	#00ff20	5	"(117, 294, 29)-(118, 293, 30)"	1.862152	2.595448	2	5.315005037	NA
patient3.gd	"(120, 297, 30)-(122, 300, 30)"	5.502989	28.334008	1.280206	17	1	#00d6ff	4	"(117, 294, 29)-(120, 297, 30)"	0.937764	1.010788	2	NA	NA
patient3.gd	"(122, 300, 30)-(126, 305, 31)"	9.149389	53.126265	1.359514	36	6	#0091ff	1	"(120, 297, 30)-(122, 300, 30)"	1.06195	1.662622	0	NA	NA
patient3.gd	"(122, 300, 30)-(122, 305, 29)"	7.320586	31.875759	1.177287	21	3	#00ff98	3	"(120, 297, 30)-(122, 300, 30)"	0.919608	1.330293	2	2.114904148	NA
patient3.gd	"(122, 305, 29)-(123, 305, 28)"	1.732051	3.541751	0.806777	2	0	#ffb27ffffffffffffeb5	1	"(122, 300, 30)-(122, 305, 29)"	0.685285	0.2366	0	NA	NA
patient3.gd	"(122, 305, 29)-(122, 310, 29)"	7.86942	19.47963	0.887655	11	0	#8600ff	2	"(122, 300, 30)-(122, 305, 29)"	0.753983	1.074971	2	NA	NA
patient3.gd	"(122, 310, 29)-(124, 317, 31)"	10.235852	77.918522	1.556623	45	1	#ff0066	1	"(122, 305, 29)-(122, 310, 29)"	1.753636	1.300712	0	NA	NA
patient3.gd	"(122, 310, 29)-(124, 309, 30)"	3.280834	7.083502	0.829005	4	0	#005dff	1	"(122, 305, 29)-(122, 310, 29)"	0.933927	0.416909	0	NA	NA
patient3.gd	"(120, 297, 30)-(122, 297, 27)"	7.235039	26.563132	1.081046	17	2	#ff217ffffffffffffe24	1	"(117, 294, 29)-(120, 297, 30)"	0.791878	1.32893	0	NA	NA
patient3.gd	"(113, 293, 27)-(117, 294, 29)"	7.176309	58.438891	1.609999	45	12	#2600ff	1	"(117, 294, 29)-(118, 293, 30)"	2.196113	3.421171	0	NA	NA
patient3.gd	"(112, 291, 30)-(118, 293, 30)"	9.908307	136.357413	2.092978	105	28	#ff00aa	4	"(118, 293, 30)-(118, 293, 34)"	1.45509	1.653059	2	0.715066538	0.525139492
patient3.gd	"(112, 291, 30)-(113, 289, 32)"	3.829669	7.083502	0.767306	4	0	#00ff9f	1	"(112, 291, 30)-(118, 293, 30)"	0.36661	0.386511	0	NA	NA
patient3.gd	"(111, 292, 30)-(112, 291, 30)"	1.67332	3.541751	0.820814	2	0	#ff0029	3	"(112, 291, 30)-(118, 293, 30)"	0.392175	0.168881	2	NA	NA
patient3.gd	"(109, 284, 28)-(111, 292, 30)"	14.072597	231.984689	2.290697	1082	951	#c0ff7fffffffffffff40	2	"(111, 292, 30)-(112, 291, 30)"	2.790764	8.409985	2	0.92397792	0.500356493
patient3.gd	"(107, 284, 29)-(109, 284, 28)"	3.770938	21.250506	1.339322	15	3	#ff007a	1	"(109, 284, 28)-(111, 292, 30)"	0.584679	0.267963	0	NA	NA
patient3.gd	"(107, 283, 27)-(109, 284, 28)"	3.280834	7.083502	0.829005	4	0	#0010ff	1	"(109, 284, 28)-(111, 292, 30)"	0.361901	0.233136	0	NA	NA
patient3.gd	"(108, 293, 27)-(111, 292, 30)"	5.561719	33.646634	1.387686	32	13	#00ffbe	1	"(111, 292, 30)-(112, 291, 30)"	1.690623	3.323763	0	NA	NA
patient3.gd	"(120, 274, 38)-(120, 274, 39)"	1.264911	3.541751	0.94407	2	0	#ff00cd	3	"(116, 267, 33)-(120, 274, 38)"	0.236689	0.100282	2	NA	NA
patient3.gd	"(120, 274, 39)-(122, 275, 42)"	5.09458	60.209767	1.939565	41	7	#ff6d7ffffffffffffe70	2	"(120, 274, 38)-(120, 274, 39)"	2.054472	4.027619	2	0.800778168	NA
patient3.gd	"(122, 275, 42)-(125, 277, 43)"	4.954154	7.083502	0.674628	4	0	#ff0089	1	"(120, 274, 39)-(122, 275, 42)"	0.347824	0.972436	0	NA	NA
patient3.gd	"(121, 268, 50)-(122, 275, 42)"	15.202044	44.271887	0.962804	25	0	#4400ff	1	"(120, 274, 39)-(122, 275, 42)"	0.496402	2.983964	0	NA	NA
patient3.gd	"(115, 281, 42)-(120, 274, 39)"	12.130462	86.772899	1.508962	64	15	#80ff7fffffffffffff80	1	"(120, 274, 38)-(120, 274, 39)"	1.598359	9.589972	0	NA	NA
patient3.gd	"(116, 267, 33)-(117, 266, 32)"	2.097618	3.541751	0.733113	2	0	#ff087ffffffffffffe0b	8	"(112, 265, 30)-(116, 267, 33)"	0.208931	0.263316	2	NA	NA
patient3.gd	"(117, 266, 32)-(123, 260, 38)"	13.403355	219.588561	2.283616	175	51	#0016ff	3	"(116, 267, 33)-(117, 266, 32)"	3.114958	6.389799	2	1.098046507	1.10637359
patient3.gd	"(123, 260, 38)-(125, 260, 38)"	3.464102	12.396128	1.067266	7	0	#8aff7fffffffffffff76	1	"(117, 266, 32)-(123, 260, 38)"	0.467358	0.25845	0	NA	NA
patient3.gd	"(123, 253, 41)-(123, 260, 38)"	10.66015	61.980642	1.360415	35	0	#00ff02	2	"(117, 266, 32)-(123, 260, 38)"	0.595728	0.795334	2	1.181410405	1.248481802
patient3.gd	"(123, 253, 41)-(125, 251, 43)"	5.012884	7.083502	0.670664	4	0	#b5ff7fffffffffffff4b	1	"(123, 253, 41)-(123, 260, 38)"	0.492985	0.470245	0	NA	NA
patient3.gd	"(120, 249, 41)-(123, 253, 41)"	7.176309	15.937879	0.840794	10	1	#ff987ffffffffffffe9b	1	"(123, 253, 41)-(123, 260, 38)"	0.618042	0.67319	0	NA	NA
patient3.gd	"(117, 266, 32)-(120, 265, 29)"	6.379368	230.213814	3.389237	186	56	#00d6ff	5	"(116, 267, 33)-(117, 266, 32)"	4.623076	3.041245	2	2.939565791	NA
patient3.gd	"(120, 265, 29)-(129, 268, 25)"	15.045729	286.881829	2.463599	191	29	#1c00ff	2	"(117, 266, 32)-(120, 265, 29)"	0.726889	2.358498	2	0.994482849	0.680138243
