 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
102.001	22935.1	70.8134	10.1536	29.0593	nan	2	101.001	97.001	
101.001	50.176	0.5	5.65182	2.51713	102	2	107.001	108.001	
107.001	208.544	5.09117	3.6109	2.76605	101	2	109.001	110.001	
109.001	128.576	18.3231	1.49453	1.3919	107	0			
110.001	178.752	34.4878	1.28445	1.16309	107	0			
108.001	156.8	14.9953	1.8244	1.82674	101	0			
97.001	54012.9	11.0497	39.4456	108	102	2	98.001	93.001	
98.001	365.344	43.5996	1.63318	1.52475	97	0			
93.001	8730.62	7.32548	19.4773	20.0872	97	2	94.001	82.001	
94.001	313.6	29.6274	1.83555	2.17762	93	0			
82.001	842.016	8.47107	5.62492	4.42394	93	2	83.001	70.001	
83.001	479.808	29.2836	2.28374	2.392	82	0			
70.001	1315.55	16.9231	4.97438	4.5638	82	2	71.001	56.001	
71.001	87.808	2.54558	3.31359	2.00997	70	2	84.001	85.001	
84.001	150.528	16.5178	1.70317	1.36484	71	0			
85.001	141.12	15.4148	1.70706	1.44107	71	0			
56.001	213.248	4.92603	3.71209	2.428	70	2	46.001	57.001	
46.001	112.896	2.12603	4.11131	2.42596	56	2	47.001	36.001	
47.001	445.312	12.8693	3.3188	5.06624	46	2	58.001	59.001	
58.001	72.128	16.2634	1.18815	0.894778	47	0			
59.001	31.36	8.9799	1.05433	0.42	47	0			
36.001	5375.1	23.1883	8.58982	35.8379	46	2	37.001	29.001	
37.001	1000.38	42.2843	2.74422	2.89499	36	0			
29.001	13072.4	66.2635	7.92439	7.19796	36	2	28.001	19.001	
28.001	3046.62	18.9599	7.15182	8.41108	29	2	34.001	35.001	
34.001	32576.8	82.2454	11.2285	16.8598	28	2	42.001	43.001	
42.001	3681.66	13.4113	9.34785	18.1117	34	2	52.001	53.001	
52.001	119.168	2.54558	3.86021	2.34213	42	2	62.001	63.001	
62.001	366.912	15.2829	2.76441	2.78675	52	0			
63.001	100.352	2.54558	3.54237	2.04271	52	2	74.001	75.001	
74.001	156.8	5.85206	2.92041	1.90307	63	2	86.001	87.001	
86.001	103.488	17.7409	1.36264	1.18094	74	0			
87.001	112.896	4.67161	2.77352	1.71508	74	2	92.001	78.001	
92.001	56.448	16.3574	1.04807	0.662557	87	0			
78.001	103.488	6.65151	2.22541	1.75523	87	2	66.001	79.001	
66.001	122.304	11.0167	1.87984	1.42849	78	2	67.001	54.001	
67.001	197.568	10.0456	2.50204	3.65109	66	2	65.001	77.001	
65.001	116.032	2.12603	4.16802	2.2006	67	1	64.001		
64.001	37.632	0.5	4.89462	1.92474	65	2	76.001	68.001	
76.001	153.664	8.47107	2.40294	1.74063	64	2	90.001	91.001	
90.001	37.632	8.47107	1.18914	0.85	76	0			
91.001	194.432	32.1304	1.38788	1.1126	76	0			
68.001	247.744	20.7368	1.9501	1.65609	64	2	55.001	69.001	
55.001	1097.6	27.9398	3.53619	3.11219	68	1	45.001		
45.001	2270.46	16.3622	6.64601	6.94719	55	1	44.001		
44.001	758.912	50.1272	2.19525	2.75356	45	0			
69.001	217.952	8.88583	2.79419	2.57487	68	2	80.001	81.001	
80.001	172.48	22.6835	1.55575	1.26712	69	0			
